Ep 0 | Reward: 19.0
Ep 1 | Reward: 27.0
Ep 2 | Reward: 38.0
Ep 3 | Reward: 12.0
Ep 4 | Reward: 11.0
Ep 5 | Reward: 20.0
Ep 6 | Reward: 30.0
Ep 7 | Reward: 9.0
Ep 8 | Reward: 16.0
Ep 9 | Reward: 27.0
Ep 10 | Reward: 35.0
Ep 11 | Reward: 38.0
Ep 12 | Reward: 21.0
Ep 13 | Reward: 10.0
Ep 14 | Reward: 17.0
Ep 15 | Reward: 18.0
Ep 16 | Reward: 11.0
Ep 17 | Reward: 12.0
Ep 18 | Reward: 15.0
Ep 19 | Reward: 17.0
Ep 20 | Reward: 15.0
Ep 21 | Reward: 36.0
Ep 22 | Reward: 12.0
Ep 23 | Reward: 23.0
Ep 24 | Reward: 11.0
Ep 25 | Reward: 15.0
Ep 26 | Reward: 20.0
Ep 27 | Reward: 16.0
Ep 28 | Reward: 18.0
Ep 29 | Reward: 33.0
Ep 30 | Reward: 13.0
Ep 31 | Reward: 19.0
Ep 32 | Reward: 34.0
Ep 33 | Reward: 20.0
Ep 34 | Reward: 12.0
Ep 35 | Reward: 13.0
Ep 36 | Reward: 21.0
Ep 37 | Reward: 11.0
Ep 38 | Reward: 16.0
Ep 39 | Reward: 29.0
Ep 40 | Reward: 37.0
Ep 41 | Reward: 30.0
Ep 42 | Reward: 11.0
Ep 43 | Reward: 23.0
Ep 44 | Reward: 14.0
Ep 45 | Reward: 14.0
Ep 46 | Reward: 13.0
Ep 47 | Reward: 16.0
Ep 48 | Reward: 34.0
Ep 49 | Reward: 10.0
Ep 50 | Reward: 20.0
Ep 51 | Reward: 28.0
Ep 52 | Reward: 21.0
Ep 53 | Reward: 38.0
Ep 54 | Reward: 17.0
Ep 55 | Reward: 48.0
Ep 56 | Reward: 28.0
Ep 57 | Reward: 17.0
Ep 58 | Reward: 32.0
Ep 59 | Reward: 12.0
Ep 60 | Reward: 15.0
Ep 61 | Reward: 42.0
Ep 62 | Reward: 12.0
Ep 63 | Reward: 45.0
Ep 64 | Reward: 18.0
Ep 65 | Reward: 55.0
Ep 66 | Reward: 10.0
Ep 67 | Reward: 21.0
Ep 68 | Reward: 26.0
Ep 69 | Reward: 17.0
Ep 70 | Reward: 12.0
Ep 71 | Reward: 12.0
Ep 72 | Reward: 22.0
Ep 73 | Reward: 25.0
Ep 74 | Reward: 21.0
Ep 75 | Reward: 17.0
Ep 76 | Reward: 12.0
Ep 77 | Reward: 26.0
Ep 78 | Reward: 25.0
Ep 79 | Reward: 34.0
Ep 80 | Reward: 13.0
Ep 81 | Reward: 16.0
Ep 82 | Reward: 32.0
Ep 83 | Reward: 22.0
Ep 84 | Reward: 27.0
Ep 85 | Reward: 14.0
Ep 86 | Reward: 12.0
Ep 87 | Reward: 38.0
Ep 88 | Reward: 42.0
Ep 89 | Reward: 12.0
Ep 90 | Reward: 19.0
Ep 91 | Reward: 72.0
Ep 92 | Reward: 11.0
Ep 93 | Reward: 41.0
Ep 94 | Reward: 15.0
Ep 95 | Reward: 16.0
Ep 96 | Reward: 12.0
Ep 97 | Reward: 18.0
Ep 98 | Reward: 12.0
Ep 99 | Reward: 11.0
Ep 100 | Reward: 17.0
Ep 101 | Reward: 17.0
Ep 102 | Reward: 10.0
Ep 103 | Reward: 15.0
Ep 104 | Reward: 13.0
Ep 105 | Reward: 15.0
Ep 106 | Reward: 28.0
Ep 107 | Reward: 20.0
Ep 108 | Reward: 12.0
Ep 109 | Reward: 49.0
Ep 110 | Reward: 9.0
Ep 111 | Reward: 43.0
Ep 112 | Reward: 21.0
Ep 113 | Reward: 15.0
Ep 114 | Reward: 21.0
Ep 115 | Reward: 11.0
Ep 116 | Reward: 23.0
Ep 117 | Reward: 13.0
Ep 118 | Reward: 38.0
Ep 119 | Reward: 18.0
Ep 120 | Reward: 20.0
Ep 121 | Reward: 17.0
Ep 122 | Reward: 17.0
Ep 123 | Reward: 29.0
Ep 124 | Reward: 10.0
Ep 125 | Reward: 17.0
Ep 126 | Reward: 15.0
Ep 127 | Reward: 23.0
Ep 128 | Reward: 13.0
Ep 129 | Reward: 20.0
Ep 130 | Reward: 31.0
Ep 131 | Reward: 62.0
Ep 132 | Reward: 32.0
Ep 133 | Reward: 13.0
Ep 134 | Reward: 22.0
Ep 135 | Reward: 30.0
Ep 136 | Reward: 13.0
Ep 137 | Reward: 37.0
Ep 138 | Reward: 13.0
Ep 139 | Reward: 15.0
Ep 140 | Reward: 22.0
Ep 141 | Reward: 17.0
Ep 142 | Reward: 18.0
Ep 143 | Reward: 18.0
Ep 144 | Reward: 18.0
Ep 145 | Reward: 15.0
Ep 146 | Reward: 34.0
Ep 147 | Reward: 11.0
Ep 148 | Reward: 50.0
Ep 149 | Reward: 29.0
Ep 150 | Reward: 20.0
Ep 151 | Reward: 26.0
Ep 152 | Reward: 16.0
Ep 153 | Reward: 45.0
Ep 154 | Reward: 30.0
Ep 155 | Reward: 16.0
Ep 156 | Reward: 11.0
Ep 157 | Reward: 13.0
Ep 158 | Reward: 21.0
Ep 159 | Reward: 16.0
Ep 160 | Reward: 20.0
Ep 161 | Reward: 15.0
Ep 162 | Reward: 18.0
Ep 163 | Reward: 23.0
Ep 164 | Reward: 25.0
Ep 165 | Reward: 26.0
Ep 166 | Reward: 21.0
Ep 167 | Reward: 17.0
Ep 168 | Reward: 15.0
Ep 169 | Reward: 27.0
Ep 170 | Reward: 11.0
Ep 171 | Reward: 18.0
Ep 172 | Reward: 11.0
Ep 173 | Reward: 31.0
Ep 174 | Reward: 70.0
Ep 175 | Reward: 20.0
Ep 176 | Reward: 13.0
Ep 177 | Reward: 11.0
Ep 178 | Reward: 16.0
Ep 179 | Reward: 13.0
Ep 180 | Reward: 10.0
Ep 181 | Reward: 11.0
Ep 182 | Reward: 25.0
Ep 183 | Reward: 11.0
Ep 184 | Reward: 16.0
Ep 185 | Reward: 17.0
Ep 186 | Reward: 16.0
Ep 187 | Reward: 15.0
Ep 188 | Reward: 18.0
Ep 189 | Reward: 20.0
Ep 190 | Reward: 14.0
Ep 191 | Reward: 15.0
Ep 192 | Reward: 31.0
Ep 193 | Reward: 11.0
Ep 194 | Reward: 20.0
Ep 195 | Reward: 32.0
Ep 196 | Reward: 44.0
Ep 197 | Reward: 16.0
Ep 198 | Reward: 23.0
Ep 199 | Reward: 22.0
Ep 200 | Reward: 27.0
Ep 201 | Reward: 12.0
Ep 202 | Reward: 12.0
Ep 203 | Reward: 11.0
Ep 204 | Reward: 20.0
Ep 205 | Reward: 46.0
Ep 206 | Reward: 14.0
Ep 207 | Reward: 23.0
Ep 208 | Reward: 16.0
Ep 209 | Reward: 21.0
Ep 210 | Reward: 13.0
Ep 211 | Reward: 18.0
Ep 212 | Reward: 33.0
Ep 213 | Reward: 16.0
Ep 214 | Reward: 17.0
Ep 215 | Reward: 17.0
Ep 216 | Reward: 32.0
Ep 217 | Reward: 21.0
Ep 218 | Reward: 23.0
Ep 219 | Reward: 39.0
Ep 220 | Reward: 12.0
Ep 221 | Reward: 23.0
Ep 222 | Reward: 12.0
Ep 223 | Reward: 16.0
Ep 224 | Reward: 13.0
Ep 225 | Reward: 24.0
Ep 226 | Reward: 12.0
Ep 227 | Reward: 10.0
Ep 228 | Reward: 18.0
Ep 229 | Reward: 23.0
Ep 230 | Reward: 14.0
Ep 231 | Reward: 15.0
Ep 232 | Reward: 46.0
Ep 233 | Reward: 14.0
Ep 234 | Reward: 18.0
Ep 235 | Reward: 15.0
Ep 236 | Reward: 11.0
Ep 237 | Reward: 18.0
Ep 238 | Reward: 25.0
Ep 239 | Reward: 32.0
Ep 240 | Reward: 16.0
Ep 241 | Reward: 26.0
Ep 242 | Reward: 23.0
Ep 243 | Reward: 44.0
Ep 244 | Reward: 23.0
Ep 245 | Reward: 10.0
Ep 246 | Reward: 39.0
Ep 247 | Reward: 24.0
Ep 248 | Reward: 39.0
Ep 249 | Reward: 12.0
Ep 250 | Reward: 15.0
Ep 251 | Reward: 8.0
Ep 252 | Reward: 12.0
Ep 253 | Reward: 18.0
Ep 254 | Reward: 17.0
Ep 255 | Reward: 21.0
Ep 256 | Reward: 11.0
Ep 257 | Reward: 14.0
Ep 258 | Reward: 21.0
Ep 259 | Reward: 16.0
Ep 260 | Reward: 10.0
Ep 261 | Reward: 13.0
Ep 262 | Reward: 11.0
Ep 263 | Reward: 16.0
Ep 264 | Reward: 14.0
Ep 265 | Reward: 29.0
Ep 266 | Reward: 12.0
Ep 267 | Reward: 25.0
Ep 268 | Reward: 37.0
Ep 269 | Reward: 15.0
Ep 270 | Reward: 25.0
Ep 271 | Reward: 14.0
Ep 272 | Reward: 10.0
Ep 273 | Reward: 11.0
Ep 274 | Reward: 13.0
Ep 275 | Reward: 16.0
Ep 276 | Reward: 28.0
Ep 277 | Reward: 14.0
Ep 278 | Reward: 19.0
Ep 279 | Reward: 41.0
Ep 280 | Reward: 18.0
Ep 281 | Reward: 15.0
Ep 282 | Reward: 16.0
Ep 283 | Reward: 26.0
Ep 284 | Reward: 15.0
Ep 285 | Reward: 14.0
Ep 286 | Reward: 36.0
Ep 287 | Reward: 22.0
Ep 288 | Reward: 26.0
Ep 289 | Reward: 25.0
Ep 290 | Reward: 27.0
Ep 291 | Reward: 33.0
Ep 292 | Reward: 41.0
Ep 293 | Reward: 13.0
Ep 294 | Reward: 27.0
Ep 295 | Reward: 24.0
Ep 296 | Reward: 49.0
Ep 297 | Reward: 18.0
Ep 298 | Reward: 15.0
Ep 299 | Reward: 11.0
Ep 300 | Reward: 11.0
Ep 301 | Reward: 29.0
Ep 302 | Reward: 18.0
Ep 303 | Reward: 14.0
Ep 304 | Reward: 23.0
Ep 305 | Reward: 14.0
Ep 306 | Reward: 41.0
Ep 307 | Reward: 30.0
Ep 308 | Reward: 35.0
Ep 309 | Reward: 10.0
Ep 310 | Reward: 23.0
Ep 311 | Reward: 21.0
Ep 312 | Reward: 39.0
Ep 313 | Reward: 11.0
Ep 314 | Reward: 22.0
Ep 315 | Reward: 43.0
Ep 316 | Reward: 14.0
Ep 317 | Reward: 11.0
Ep 318 | Reward: 18.0
Ep 319 | Reward: 18.0
Ep 320 | Reward: 13.0
Ep 321 | Reward: 9.0
Ep 322 | Reward: 27.0
Ep 323 | Reward: 31.0
Ep 324 | Reward: 41.0
Ep 325 | Reward: 17.0
Ep 326 | Reward: 16.0
Ep 327 | Reward: 19.0
Ep 328 | Reward: 20.0
Ep 329 | Reward: 13.0
Ep 330 | Reward: 21.0
Ep 331 | Reward: 34.0
Ep 332 | Reward: 36.0
Ep 333 | Reward: 39.0
Ep 334 | Reward: 12.0
Ep 335 | Reward: 12.0
Ep 336 | Reward: 31.0
Ep 337 | Reward: 25.0
Ep 338 | Reward: 22.0
Ep 339 | Reward: 21.0
Ep 340 | Reward: 26.0
Ep 341 | Reward: 29.0
Ep 342 | Reward: 37.0
Ep 343 | Reward: 17.0
Ep 344 | Reward: 22.0
Ep 345 | Reward: 26.0
Ep 346 | Reward: 27.0
Ep 347 | Reward: 19.0
Ep 348 | Reward: 20.0
Ep 349 | Reward: 42.0
Ep 350 | Reward: 35.0
Ep 351 | Reward: 21.0
Ep 352 | Reward: 9.0
Ep 353 | Reward: 16.0
Ep 354 | Reward: 13.0
Ep 355 | Reward: 21.0
Ep 356 | Reward: 18.0
Ep 357 | Reward: 22.0
Ep 358 | Reward: 25.0
Ep 359 | Reward: 21.0
Ep 360 | Reward: 23.0
Ep 361 | Reward: 50.0
Ep 362 | Reward: 22.0
Ep 363 | Reward: 13.0
Ep 364 | Reward: 19.0
Ep 365 | Reward: 12.0
Ep 366 | Reward: 17.0
Ep 367 | Reward: 9.0
Ep 368 | Reward: 16.0
Ep 369 | Reward: 13.0
Ep 370 | Reward: 33.0
Ep 371 | Reward: 15.0
Ep 372 | Reward: 20.0
Ep 373 | Reward: 15.0
Ep 374 | Reward: 17.0
Ep 375 | Reward: 9.0
Ep 376 | Reward: 16.0
Ep 377 | Reward: 14.0
Ep 378 | Reward: 54.0
Ep 379 | Reward: 35.0
Ep 380 | Reward: 16.0
Ep 381 | Reward: 12.0
Ep 382 | Reward: 18.0
Ep 383 | Reward: 33.0
Ep 384 | Reward: 18.0
Ep 385 | Reward: 13.0
Ep 386 | Reward: 22.0
Ep 387 | Reward: 20.0
Ep 388 | Reward: 14.0
Ep 389 | Reward: 42.0
Ep 390 | Reward: 16.0
Ep 391 | Reward: 27.0
Ep 392 | Reward: 27.0
Ep 393 | Reward: 19.0
Ep 394 | Reward: 14.0
Ep 395 | Reward: 18.0
Ep 396 | Reward: 16.0
Ep 397 | Reward: 24.0
Ep 398 | Reward: 25.0
Ep 399 | Reward: 21.0
Ep 400 | Reward: 34.0
Ep 401 | Reward: 41.0
Ep 402 | Reward: 60.0
Ep 403 | Reward: 23.0
Ep 404 | Reward: 17.0
Ep 405 | Reward: 25.0
Ep 406 | Reward: 26.0
Ep 407 | Reward: 29.0
Ep 408 | Reward: 14.0
Ep 409 | Reward: 18.0
