2025-04-23 01:13:15,402 INFO    MainThread:31660 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-23 01:13:15,403 INFO    MainThread:31660 [wandb_setup.py:_flush():67] Configure stats pid to 31660
2025-04-23 01:13:15,403 INFO    MainThread:31660 [wandb_setup.py:_flush():67] Loading settings from C:\Users\USER\.config\wandb\settings
2025-04-23 01:13:15,403 INFO    MainThread:31660 [wandb_setup.py:_flush():67] Loading settings from C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\settings
2025-04-23 01:13:15,403 INFO    MainThread:31660 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-23 01:13:15,403 INFO    MainThread:31660 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\run-20250423_011315-qe00dah0\logs\debug.log
2025-04-23 01:13:15,405 INFO    MainThread:31660 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\run-20250423_011315-qe00dah0\logs\debug-internal.log
2025-04-23 01:13:15,405 INFO    MainThread:31660 [wandb_init.py:init():781] calling init triggers
2025-04-23 01:13:15,405 INFO    MainThread:31660 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'task': 2, 'save_dir': './results', 'wandb_project_name': 'DLP-Lab5-DQN', 'seed': 42, 'total_steps': 1000000, 'batch_size': 32, 'lr': 0.0001, 'discount_factor': 0.99, 'train_frequency': 4, 'target_update_frequency': 5000, 'grad_clip_norm': 10.0, 'memory_size': 200000, 'replay_start_size': 20000, 'epsilon_start': 1.0, 'epsilon_min': 0.01, 'epsilon_decay_steps': 250000, 'per_alpha': 0.6, 'per_beta_start': 0.4, 'n_steps': 1, 'frame_stack': 4, 'eval_frequency': 25000, 'eval_episodes': 20, 'save_frequency': 100000, 'max_episode_steps': 50000, 'env_name': 'ALE/Pong-v5', 'use_ddqn': False, 'use_per': False, 'per_beta_increment_per_sampling': 0, 'wandb_run_name': 'Task2-Pong-Vanilla-lr0.0001-bs32-mem200000', '_wandb': {'code_path': 'code/gemini_2_dqn.py'}}
2025-04-23 01:13:15,405 INFO    MainThread:31660 [wandb_init.py:init():809] starting backend
2025-04-23 01:13:15,405 INFO    MainThread:31660 [wandb_init.py:init():813] sending inform_init request
2025-04-23 01:13:15,418 INFO    MainThread:31660 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-23 01:13:15,418 INFO    MainThread:31660 [wandb_init.py:init():823] backend started and connected
2025-04-23 01:13:15,419 INFO    MainThread:31660 [wandb_init.py:init():915] updated telemetry
2025-04-23 01:13:15,421 INFO    MainThread:31660 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-23 01:13:16,019 INFO    MainThread:31660 [wandb_init.py:init():1014] starting run threads in backend
2025-04-23 01:13:16,061 INFO    MainThread:31660 [wandb_run.py:_console_start():2454] atexit reg
2025-04-23 01:13:16,061 INFO    MainThread:31660 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-23 01:13:16,062 INFO    MainThread:31660 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-23 01:13:16,062 INFO    MainThread:31660 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-23 01:13:16,064 INFO    MainThread:31660 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-23 02:12:54,618 INFO    MainThread:31660 [wandb_run.py:_finish():2189] finishing run x546hjm65-no/DLP-Lab5-DQN/qe00dah0
2025-04-23 02:12:54,618 INFO    MainThread:31660 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-23 02:12:54,618 INFO    MainThread:31660 [wandb_run.py:_restore():2401] restore
2025-04-23 02:12:54,619 INFO    MainThread:31660 [wandb_run.py:_restore():2407] restore done
2025-04-23 02:12:56,518 INFO    MainThread:31660 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-23 02:12:56,518 INFO    MainThread:31660 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-23 02:12:56,520 INFO    MainThread:31660 [wandb_run.py:_footer_sync_info():4025] logging synced files
