Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 764, Episode: 1, Reward: -21.00, Epsilon: 1.000
Step: 1743, Episode: 2, Reward: -20.00, Epsilon: 1.000
Step: 2892, Episode: 3, Reward: -20.00, Epsilon: 1.000
Step: 3823, Episode: 4, Reward: -20.00, Epsilon: 1.000
Step: 4878, Episode: 5, Reward: -21.00, Epsilon: 1.000
Step: 5919, Episode: 6, Reward: -20.00, Epsilon: 1.000
Step: 6861, Episode: 7, Reward: -21.00, Epsilon: 1.000
Step: 7925, Episode: 8, Reward: -19.00, Epsilon: 1.000
Step: 9053, Episode: 9, Reward: -19.00, Epsilon: 1.000
Step: 9966, Episode: 10, Reward: -21.00, Epsilon: 1.000
Step: 10945, Episode: 11, Reward: -20.00, Epsilon: 0.999
Step: 12172, Episode: 12, Reward: -18.00, Epsilon: 0.998
Step: 13238, Episode: 13, Reward: -19.00, Epsilon: 0.997
Step: 14090, Episode: 14, Reward: -21.00, Epsilon: 0.996
Step: 15022, Episode: 15, Reward: -20.00, Epsilon: 0.995
Step: 16046, Episode: 16, Reward: -20.00, Epsilon: 0.995
Step: 16948, Episode: 17, Reward: -20.00, Epsilon: 0.994
Step: 17986, Episode: 18, Reward: -20.00, Epsilon: 0.993
Step: 18946, Episode: 19, Reward: -20.00, Epsilon: 0.992
Step: 19985, Episode: 20, Reward: -20.00, Epsilon: 0.991
Step: 21012, Episode: 21, Reward: -21.00, Epsilon: 0.990
Step: 22094, Episode: 22, Reward: -20.00, Epsilon: 0.989
Step: 23148, Episode: 23, Reward: -20.00, Epsilon: 0.988
Step: 23972, Episode: 24, Reward: -21.00, Epsilon: 0.987
Step: 24917, Episode: 25, Reward: -20.00, Epsilon: 0.987
Step: 25800, Episode: 26, Reward: -21.00, Epsilon: 0.986
Step: 26819, Episode: 27, Reward: -20.00, Epsilon: 0.985
Step: 28022, Episode: 28, Reward: -18.00, Epsilon: 0.984
Step: 28893, Episode: 29, Reward: -20.00, Epsilon: 0.983
Step: 29705, Episode: 30, Reward: -21.00, Epsilon: 0.982
Step: 30667, Episode: 31, Reward: -19.00, Epsilon: 0.981
Step: 31613, Episode: 32, Reward: -21.00, Epsilon: 0.981
Step: 32437, Episode: 33, Reward: -21.00, Epsilon: 0.980
Step: 33417, Episode: 34, Reward: -20.00, Epsilon: 0.979
Step: 34331, Episode: 35, Reward: -21.00, Epsilon: 0.978
Step: 35201, Episode: 36, Reward: -21.00, Epsilon: 0.977
Step: 36266, Episode: 37, Reward: -20.00, Epsilon: 0.976
Step: 37216, Episode: 38, Reward: -20.00, Epsilon: 0.976
Step: 38164, Episode: 39, Reward: -21.00, Epsilon: 0.975
Step: 39141, Episode: 40, Reward: -19.00, Epsilon: 0.974
Step: 40072, Episode: 41, Reward: -21.00, Epsilon: 0.973
Step: 41036, Episode: 42, Reward: -21.00, Epsilon: 0.972
Step: 41828, Episode: 43, Reward: -21.00, Epsilon: 0.971
Step: 42681, Episode: 44, Reward: -21.00, Epsilon: 0.971
Step: 43523, Episode: 45, Reward: -20.00, Epsilon: 0.970
Step: 44395, Episode: 46, Reward: -21.00, Epsilon: 0.969
Step: 45310, Episode: 47, Reward: -20.00, Epsilon: 0.968
