Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Prioritized Replay Buffer
Models and logs will be saved in: ./results_task3
Step: 1095, Episode: 1, Reward: -18.00, Epsilon: 1.000
Step: 1949, Episode: 2, Reward: -21.00, Epsilon: 1.000
Step: 2895, Episode: 3, Reward: -21.00, Epsilon: 1.000
Step: 3738, Episode: 4, Reward: -21.00, Epsilon: 1.000
Step: 4788, Episode: 5, Reward: -20.00, Epsilon: 1.000
Step: 5612, Episode: 6, Reward: -21.00, Epsilon: 1.000
Step: 6451, Episode: 7, Reward: -21.00, Epsilon: 1.000
Step: 7381, Episode: 8, Reward: -20.00, Epsilon: 1.000
Step: 8173, Episode: 9, Reward: -21.00, Epsilon: 1.000
Step: 8999, Episode: 10, Reward: -21.00, Epsilon: 1.000
Step: 9842, Episode: 11, Reward: -20.00, Epsilon: 1.000
Step: 10744, Episode: 12, Reward: -20.00, Epsilon: 0.997
Step: 11526, Episode: 13, Reward: -21.00, Epsilon: 0.994
Step: 12544, Episode: 14, Reward: -20.00, Epsilon: 0.990
Step: 13385, Episode: 15, Reward: -21.00, Epsilon: 0.987
Step: 14239, Episode: 16, Reward: -21.00, Epsilon: 0.983
Step: 15140, Episode: 17, Reward: -21.00, Epsilon: 0.980
Step: 16024, Episode: 18, Reward: -21.00, Epsilon: 0.976
Step: 16972, Episode: 19, Reward: -20.00, Epsilon: 0.972
Step: 17916, Episode: 20, Reward: -21.00, Epsilon: 0.969
Step: 18951, Episode: 21, Reward: -21.00, Epsilon: 0.965
Step: 19931, Episode: 22, Reward: -19.00, Epsilon: 0.961
Step: 20921, Episode: 23, Reward: -20.00, Epsilon: 0.957
Step: 21685, Episode: 24, Reward: -21.00, Epsilon: 0.954
Step: 22569, Episode: 25, Reward: -21.00, Epsilon: 0.950
Step: 23468, Episode: 26, Reward: -21.00, Epsilon: 0.947
Step: 24589, Episode: 27, Reward: -21.00, Epsilon: 0.942
Step: 25381, Episode: 28, Reward: -21.00, Epsilon: 0.939
Step: 26265, Episode: 29, Reward: -21.00, Epsilon: 0.936
Step: 27148, Episode: 30, Reward: -21.00, Epsilon: 0.932
Step: 28123, Episode: 31, Reward: -20.00, Epsilon: 0.928
