Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 980, Episode: 1, Reward: -20.00, Epsilon: 1.000
Step: 1950, Episode: 2, Reward: -21.00, Epsilon: 1.000
Step: 2831, Episode: 3, Reward: -21.00, Epsilon: 1.000
Step: 3916, Episode: 4, Reward: -21.00, Epsilon: 1.000
Step: 4857, Episode: 5, Reward: -21.00, Epsilon: 1.000
Step: 5923, Episode: 6, Reward: -20.00, Epsilon: 1.000
Step: 6904, Episode: 7, Reward: -19.00, Epsilon: 1.000
Step: 7726, Episode: 8, Reward: -21.00, Epsilon: 1.000
Step: 8490, Episode: 9, Reward: -21.00, Epsilon: 1.000
Step: 9510, Episode: 10, Reward: -20.00, Epsilon: 1.000
Step: 10427, Episode: 11, Reward: -20.00, Epsilon: 1.000
Step: 11569, Episode: 12, Reward: -20.00, Epsilon: 0.999
Step: 12622, Episode: 13, Reward: -20.00, Epsilon: 0.998
Step: 13584, Episode: 14, Reward: -20.00, Epsilon: 0.997
Step: 14524, Episode: 15, Reward: -20.00, Epsilon: 0.996
Step: 15288, Episode: 16, Reward: -21.00, Epsilon: 0.995
Step: 16251, Episode: 17, Reward: -20.00, Epsilon: 0.994
Step: 17213, Episode: 18, Reward: -20.00, Epsilon: 0.994
Step: 18056, Episode: 19, Reward: -21.00, Epsilon: 0.993
Step: 18979, Episode: 20, Reward: -20.00, Epsilon: 0.992
Step: 19821, Episode: 21, Reward: -21.00, Epsilon: 0.991
Step: 20830, Episode: 22, Reward: -20.00, Epsilon: 0.990
Step: 21793, Episode: 23, Reward: -21.00, Epsilon: 0.989
Step: 22817, Episode: 24, Reward: -20.00, Epsilon: 0.988
Step: 23815, Episode: 25, Reward: -20.00, Epsilon: 0.988
Step: 24732, Episode: 26, Reward: -21.00, Epsilon: 0.987
Step: 25664, Episode: 27, Reward: -20.00, Epsilon: 0.986
Step: 26703, Episode: 28, Reward: -20.00, Epsilon: 0.985
Step: 27496, Episode: 29, Reward: -21.00, Epsilon: 0.984
Step: 28501, Episode: 30, Reward: -20.00, Epsilon: 0.983
Step: 29403, Episode: 31, Reward: -20.00, Epsilon: 0.983
Step: 30240, Episode: 32, Reward: -20.00, Epsilon: 0.982
Step: 31143, Episode: 33, Reward: -20.00, Epsilon: 0.981
Step: 32046, Episode: 34, Reward: -20.00, Epsilon: 0.980
Step: 32964, Episode: 35, Reward: -21.00, Epsilon: 0.979
Step: 33806, Episode: 36, Reward: -20.00, Epsilon: 0.979
Step: 34882, Episode: 37, Reward: -20.00, Epsilon: 0.978
Step: 35819, Episode: 38, Reward: -19.00, Epsilon: 0.977
Step: 36639, Episode: 39, Reward: -21.00, Epsilon: 0.976
Step: 37761, Episode: 40, Reward: -19.00, Epsilon: 0.975
Step: 38832, Episode: 41, Reward: -20.00, Epsilon: 0.974
Step: 39624, Episode: 42, Reward: -21.00, Epsilon: 0.973
Step: 40493, Episode: 43, Reward: -21.00, Epsilon: 0.973
Step: 41424, Episode: 44, Reward: -21.00, Epsilon: 0.972
Step: 42297, Episode: 45, Reward: -21.00, Epsilon: 0.971
