Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 1218, Episode: 1, Reward: -20.00, Epsilon: 1.000
Step: 2441, Episode: 2, Reward: -19.00, Epsilon: 1.000
Step: 3460, Episode: 3, Reward: -20.00, Epsilon: 1.000
Step: 4351, Episode: 4, Reward: -20.00, Epsilon: 1.000
Step: 5255, Episode: 5, Reward: -20.00, Epsilon: 1.000
Step: 6233, Episode: 6, Reward: -20.00, Epsilon: 1.000
Step: 7245, Episode: 7, Reward: -20.00, Epsilon: 1.000
Step: 8071, Episode: 8, Reward: -21.00, Epsilon: 1.000
Step: 9219, Episode: 9, Reward: -20.00, Epsilon: 1.000
Step: 10227, Episode: 10, Reward: -19.00, Epsilon: 1.000
Step: 11158, Episode: 11, Reward: -20.00, Epsilon: 0.999
Step: 11978, Episode: 12, Reward: -21.00, Epsilon: 0.998
Step: 12858, Episode: 13, Reward: -21.00, Epsilon: 0.997
Step: 13779, Episode: 14, Reward: -20.00, Epsilon: 0.997
Step: 15024, Episode: 15, Reward: -19.00, Epsilon: 0.995
Step: 16045, Episode: 16, Reward: -20.00, Epsilon: 0.995
Step: 16898, Episode: 17, Reward: -21.00, Epsilon: 0.994
Step: 17824, Episode: 18, Reward: -20.00, Epsilon: 0.993
Step: 18666, Episode: 19, Reward: -20.00, Epsilon: 0.992
Step: 19729, Episode: 20, Reward: -20.00, Epsilon: 0.991
Step: 20577, Episode: 21, Reward: -21.00, Epsilon: 0.990
Step: 21652, Episode: 22, Reward: -18.00, Epsilon: 0.990
Step: 22773, Episode: 23, Reward: -18.00, Epsilon: 0.989
Step: 23625, Episode: 24, Reward: -21.00, Epsilon: 0.988
Step: 24496, Episode: 25, Reward: -20.00, Epsilon: 0.987
Step: 25408, Episode: 26, Reward: -21.00, Epsilon: 0.986
Step: 26579, Episode: 27, Reward: -21.00, Epsilon: 0.985
Step: 27438, Episode: 28, Reward: -21.00, Epsilon: 0.984
Step: 28457, Episode: 29, Reward: -20.00, Epsilon: 0.983
Step: 29360, Episode: 30, Reward: -21.00, Epsilon: 0.983
Step: 30254, Episode: 31, Reward: -20.00, Epsilon: 0.982
Step: 31152, Episode: 32, Reward: -20.00, Epsilon: 0.981
Step: 32161, Episode: 33, Reward: -19.00, Epsilon: 0.980
Step: 33092, Episode: 34, Reward: -21.00, Epsilon: 0.979
Step: 34097, Episode: 35, Reward: -19.00, Epsilon: 0.978
Step: 34918, Episode: 36, Reward: -21.00, Epsilon: 0.978
Step: 35927, Episode: 37, Reward: -20.00, Epsilon: 0.977
Step: 36776, Episode: 38, Reward: -21.00, Epsilon: 0.976
Step: 37688, Episode: 39, Reward: -21.00, Epsilon: 0.975
Step: 38518, Episode: 40, Reward: -21.00, Epsilon: 0.974
Step: 39583, Episode: 41, Reward: -19.00, Epsilon: 0.973
Step: 40570, Episode: 42, Reward: -20.00, Epsilon: 0.972
Step: 41353, Episode: 43, Reward: -21.00, Epsilon: 0.972
Step: 42510, Episode: 44, Reward: -20.00, Epsilon: 0.971
Step: 43729, Episode: 45, Reward: -18.00, Epsilon: 0.970
Step: 44663, Episode: 46, Reward: -20.00, Epsilon: 0.969
Step: 45489, Episode: 47, Reward: -21.00, Epsilon: 0.968
Step: 46482, Episode: 48, Reward: -21.00, Epsilon: 0.967
Step: 47336, Episode: 49, Reward: -21.00, Epsilon: 0.966
Step: 48421, Episode: 50, Reward: -19.00, Epsilon: 0.965
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 50, Step 48421) ---
Avg Reward over 20 episodes: -17.10 (Duration: 26.47s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 49273, Episode: 51, Reward: -21.00, Epsilon: 0.965
Step: 50144, Episode: 52, Reward: -21.00, Epsilon: 0.964
Step: 51136, Episode: 53, Reward: -20.00, Epsilon: 0.963
Step: 52096, Episode: 54, Reward: -20.00, Epsilon: 0.962
Step: 53273, Episode: 55, Reward: -21.00, Epsilon: 0.961
Step: 54326, Episode: 56, Reward: -19.00, Epsilon: 0.960
Step: 55336, Episode: 57, Reward: -21.00, Epsilon: 0.959
Step: 56119, Episode: 58, Reward: -21.00, Epsilon: 0.958
Step: 57259, Episode: 59, Reward: -20.00, Epsilon: 0.957
Step: 58162, Episode: 60, Reward: -20.00, Epsilon: 0.957
Step: 59349, Episode: 61, Reward: -19.00, Epsilon: 0.956
Step: 60740, Episode: 62, Reward: -17.00, Epsilon: 0.954
Step: 61648, Episode: 63, Reward: -21.00, Epsilon: 0.954
Step: 62488, Episode: 64, Reward: -21.00, Epsilon: 0.953
Step: 63471, Episode: 65, Reward: -20.00, Epsilon: 0.952
Step: 64440, Episode: 66, Reward: -21.00, Epsilon: 0.951
Step: 65480, Episode: 67, Reward: -20.00, Epsilon: 0.950
