2025-04-25 20:55:09,985 INFO    MainThread:3896 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-25 20:55:09,986 INFO    MainThread:3896 [wandb_setup.py:_flush():67] Configure stats pid to 3896
2025-04-25 20:55:09,986 INFO    MainThread:3896 [wandb_setup.py:_flush():67] Loading settings from C:\Users\USER\.config\wandb\settings
2025-04-25 20:55:09,986 INFO    MainThread:3896 [wandb_setup.py:_flush():67] Loading settings from C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\settings
2025-04-25 20:55:09,986 INFO    MainThread:3896 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-25 20:55:09,986 INFO    MainThread:3896 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\run-20250425_205509-pvbqf59z\logs\debug.log
2025-04-25 20:55:09,988 INFO    MainThread:3896 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\run-20250425_205509-pvbqf59z\logs\debug-internal.log
2025-04-25 20:55:09,988 INFO    MainThread:3896 [wandb_init.py:init():781] calling init triggers
2025-04-25 20:55:09,988 INFO    MainThread:3896 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {'code_path': 'code/Task1.py'}}
2025-04-25 20:55:09,988 INFO    MainThread:3896 [wandb_init.py:init():809] starting backend
2025-04-25 20:55:09,988 INFO    MainThread:3896 [wandb_init.py:init():813] sending inform_init request
2025-04-25 20:55:09,996 INFO    MainThread:3896 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-25 20:55:09,996 INFO    MainThread:3896 [wandb_init.py:init():823] backend started and connected
2025-04-25 20:55:09,996 INFO    MainThread:3896 [wandb_init.py:init():915] updated telemetry
2025-04-25 20:55:09,997 INFO    MainThread:3896 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-25 20:55:10,680 INFO    MainThread:3896 [wandb_init.py:init():1014] starting run threads in backend
2025-04-25 20:55:10,717 INFO    MainThread:3896 [wandb_run.py:_console_start():2454] atexit reg
2025-04-25 20:55:10,718 INFO    MainThread:3896 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-25 20:55:10,718 INFO    MainThread:3896 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-25 20:55:10,718 INFO    MainThread:3896 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-25 20:55:10,721 INFO    MainThread:3896 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-25 20:56:06,802 INFO    MsgRouterThr:3896 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
