Using device: cuda
[Ep 0] R=-20.0  Steps=1086  ε=0.9575
[Ep 1] R=-20.0  Steps=2016  ε=0.9225
[Ep 2] R=-20.0  Steps=2936  ε=0.8892
[Ep 3] R=-21.0  Steps=3880  ε=0.8562
[Ep 4] R=-21.0  Steps=4704  ε=0.8285
[Ep 5] R=-19.0  Steps=5754  ε=0.7944
[Ep 6] R=-21.0  Steps=6760  ε=0.7631
[Ep 7] R=-20.0  Steps=7659  ε=0.7361
[Ep 8] R=-20.0  Steps=8617  ε=0.7084
[Ep 9] R=-20.0  Steps=9521  ε=0.6833
[Ep 10] R=-21.0  Steps=10304  ε=0.6622
[Ep 11] R=-21.0  Steps=11130  ε=0.6407
[Ep 12] R=-20.0  Steps=12028  ε=0.6181
[Ep 13] R=-20.0  Steps=12866  ε=0.5977
[Ep 14] R=-20.0  Steps=13709  ε=0.5779
[Ep 15] R=-20.0  Steps=14551  ε=0.5588
[Ep 16] R=-21.0  Steps=15375  ε=0.5406
[Ep 17] R=-21.0  Steps=16199  ε=0.5231
[Ep 18] R=-20.0  Steps=17036  ε=0.5059
[Ep 19] R=-21.0  Steps=17819  ε=0.4903
*** (avg_R=-21.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_17819.pt ***
[Ep 20] R=-21.0  Steps=18643  ε=0.4744
[Ep 21] R=-21.0  Steps=19426  ε=0.4598
[Ep 22] R=-21.0  Steps=20209  ε=0.4456
[Ep 23] R=-20.0  Steps=21053  ε=0.4308
[Ep 24] R=-21.0  Steps=21907  ε=0.4163
[Ep 25] R=-21.0  Steps=22690  ε=0.4035
[Ep 26] R=-21.0  Steps=23514  ε=0.3904
[Ep 27] R=-20.0  Steps=24357  ε=0.3775
[Ep 28] R=-21.0  Steps=25149  ε=0.3657
[Ep 29] R=-21.0  Steps=25941  ε=0.3543
[Ep 30] R=-21.0  Steps=26765  ε=0.3428
[Ep 31] R=-20.0  Steps=27603  ε=0.3315
[Ep 32] R=-21.0  Steps=28386  ε=0.3213
[Ep 33] R=-20.0  Steps=29224  ε=0.3107
[Ep 34] R=-21.0  Steps=30048  ε=0.3006
[Ep 35] R=-20.0  Steps=30886  ε=0.2907
[Ep 36] R=-21.0  Steps=31669  ε=0.2817
[Ep 37] R=-20.0  Steps=32507  ε=0.2724
[Ep 38] R=-21.0  Steps=33301  ε=0.2639
[Ep 39] R=-20.0  Steps=34143  ε=0.2552
*** (avg_R=-21.00) ***
[Ep 40] R=-21.0  Steps=34926  ε=0.2473
[Ep 41] R=-20.0  Steps=35764  ε=0.2392
[Ep 42] R=-21.0  Steps=36547  ε=0.2318
[Ep 43] R=-21.0  Steps=37330  ε=0.2246
[Ep 44] R=-21.0  Steps=38113  ε=0.2177
[Ep 45] R=-20.0  Steps=38955  ε=0.2105
[Ep 46] R=-21.0  Steps=39747  ε=0.2039
[Ep 47] R=-21.0  Steps=40571  ε=0.1973
[Ep 48] R=-21.0  Steps=41395  ε=0.1909
[Ep 49] R=-21.0  Steps=42187  ε=0.1850
[Ep 50] R=-21.0  Steps=42998  ε=0.1791
[Ep 51] R=-21.0  Steps=43781  ε=0.1736
[Ep 52] R=-21.0  Steps=44545  ε=0.1683
[Ep 53] R=-21.0  Steps=45309  ε=0.1633
[Ep 54] R=-20.0  Steps=46147  ε=0.1579
[Ep 55] R=-21.0  Steps=46939  ε=0.1530
[Ep 56] R=-20.0  Steps=47869  ε=0.1474
[Ep 57] R=-20.0  Steps=48711  ε=0.1425
[Ep 58] R=-21.0  Steps=49563  ε=0.1377
[Ep 59] R=-21.0  Steps=50355  ε=0.1334
*** (avg_R=-21.00) ***
[Ep 60] R=-20.0  Steps=51262  ε=0.1287
[Ep 61] R=-20.0  Steps=52100  ε=0.1244
[Ep 62] R=-21.0  Steps=52892  ε=0.1205
[Ep 63] R=-20.0  Steps=53762  ε=0.1164
[Ep 64] R=-21.0  Steps=54582  ε=0.1127
[Ep 65] R=-21.0  Steps=55346  ε=0.1093
[Ep 66] R=-21.0  Steps=56170  ε=0.1057
[Ep 67] R=-20.0  Steps=57012  ε=0.1022
[Ep 68] R=-21.0  Steps=57776  ε=0.0992
[Ep 69] R=-19.0  Steps=58855  ε=0.0950
[Ep 70] R=-20.0  Steps=59754  ε=0.0916
[Train 10000] loss=0.0755
[Ep 71] R=-21.0  Steps=60546  ε=0.0888
[Ep 72] R=-21.0  Steps=61430  ε=0.0857
[Ep 73] R=-21.0  Steps=62314  ε=0.0827
[Ep 74] R=-21.0  Steps=63138  ε=0.0800
[Ep 75] R=-21.0  Steps=63902  ε=0.0776
[Ep 76] R=-21.0  Steps=64694  ε=0.0752
[Ep 77] R=-21.0  Steps=65518  ε=0.0727
[Ep 78] R=-21.0  Steps=66389  ε=0.0703
[Ep 79] R=-21.0  Steps=67213  ε=0.0680
*** (avg_R=-21.00) ***
[Ep 80] R=-21.0  Steps=68023  ε=0.0658
[Ep 81] R=-21.0  Steps=68787  ε=0.0638
[Ep 82] R=-21.0  Steps=69611  ε=0.0618
[Train 20000] loss=0.0128
[Ep 83] R=-21.0  Steps=70375  ε=0.0599
[Ep 84] R=-21.0  Steps=71139  ε=0.0581
[Ep 85] R=-20.0  Steps=72184  ε=0.0557
[Ep 86] R=-19.0  Steps=73209  ε=0.0535
[Ep 87] R=-21.0  Steps=73973  ε=0.0519
[Ep 88] R=-21.0  Steps=74921  ε=0.0500
[Ep 89] R=-21.0  Steps=75685  ε=0.0500
[Ep 90] R=-21.0  Steps=76449  ε=0.0500
[Ep 91] R=-21.0  Steps=77273  ε=0.0500
[Ep 92] R=-21.0  Steps=78037  ε=0.0500
[Ep 93] R=-21.0  Steps=78918  ε=0.0500
[Ep 94] R=-20.0  Steps=79760  ε=0.0500
[Train 30000] loss=0.0031
[Ep 95] R=-21.0  Steps=80584  ε=0.0500
[Ep 96] R=-21.0  Steps=81468  ε=0.0500
[Ep 97] R=-21.0  Steps=82280  ε=0.0500
[Ep 98] R=-21.0  Steps=83104  ε=0.0500
[Ep 99] R=-20.0  Steps=83974  ε=0.0500
*** (avg_R=-21.00) ***
[Ep 100] R=-21.0  Steps=84738  ε=0.0500
[Ep 101] R=-20.0  Steps=85659  ε=0.0500
[Ep 102] R=-20.0  Steps=86501  ε=0.0500
[Ep 103] R=-21.0  Steps=87293  ε=0.0500
[Ep 104] R=-21.0  Steps=88075  ε=0.0500
[Ep 105] R=-21.0  Steps=88895  ε=0.0500
[Ep 106] R=-21.0  Steps=89678  ε=0.0500
[Train 40000] loss=0.0058
[Ep 107] R=-21.0  Steps=90521  ε=0.0500
[Ep 108] R=-20.0  Steps=91363  ε=0.0500
[Ep 109] R=-19.0  Steps=92466  ε=0.0500
[Ep 110] R=-19.0  Steps=93638  ε=0.0500
[Ep 111] R=-19.0  Steps=94949  ε=0.0500
[Ep 112] R=-20.0  Steps=96065  ε=0.0500
[Ep 113] R=-19.0  Steps=97199  ε=0.0500
[Ep 114] R=-21.0  Steps=98246  ε=0.0500
[Ep 115] R=-17.0  Steps=99502  ε=0.0500
[Train 50000] loss=0.0030
[Ep 116] R=-21.0  Steps=100342  ε=0.0500
[Ep 117] R=-21.0  Steps=101478  ε=0.0500
[Ep 118] R=-20.0  Steps=102385  ε=0.0500
[Ep 119] R=-19.0  Steps=103345  ε=0.0500
*** (avg_R=-20.80) ***
*** New best model saved: LAB5_B11017015_task3_pong_103345.pt ***
[Ep 120] R=-21.0  Steps=104250  ε=0.0500
[Ep 121] R=-19.0  Steps=105199  ε=0.0500
[Ep 122] R=-21.0  Steps=106082  ε=0.0500
[Ep 123] R=-20.0  Steps=107251  ε=0.0500
[Ep 124] R=-18.0  Steps=108520  ε=0.0500
[Train 60000] loss=0.0014
[Ep 125] R=-17.0  Steps=110162  ε=0.0500
[Ep 126] R=-18.0  Steps=111608  ε=0.0500
[Ep 127] R=-16.0  Steps=112955  ε=0.0500
[Ep 128] R=-16.0  Steps=114591  ε=0.0500
[Ep 129] R=-19.0  Steps=115987  ε=0.0500
[Ep 130] R=-20.0  Steps=117291  ε=0.0500
[Ep 131] R=-20.0  Steps=118250  ε=0.0500
[Ep 132] R=-19.0  Steps=119431  ε=0.0500
[Train 70000] loss=0.0090
[Ep 133] R=-21.0  Steps=120618  ε=0.0500
[Ep 134] R=-20.0  Steps=121929  ε=0.0500
[Ep 135] R=-19.0  Steps=123180  ε=0.0500
[Ep 136] R=-19.0  Steps=124495  ε=0.0500
[Ep 137] R=-18.0  Steps=126015  ε=0.0500
[Ep 138] R=-18.0  Steps=127375  ε=0.0500
[Ep 139] R=-17.0  Steps=128642  ε=0.0500
*** (avg_R=-18.45) ***
*** New best model saved: LAB5_B11017015_task3_pong_128642.pt ***
[Ep 140] R=-19.0  Steps=129864  ε=0.0500
[Train 80000] loss=0.0140
[Ep 141] R=-18.0  Steps=131467  ε=0.0500
[Ep 142] R=-18.0  Steps=132904  ε=0.0500
[Ep 143] R=-18.0  Steps=134282  ε=0.0500
[Ep 144] R=-20.0  Steps=135685  ε=0.0500
[Ep 145] R=-17.0  Steps=137253  ε=0.0500
[Ep 146] R=-18.0  Steps=138890  ε=0.0500
[Train 90000] loss=0.0093
[Ep 147] R=-20.0  Steps=140387  ε=0.0500
[Ep 148] R=-18.0  Steps=142025  ε=0.0500
[Ep 149] R=-19.0  Steps=143551  ε=0.0500
[Ep 150] R=-14.0  Steps=145552  ε=0.0500
[Ep 151] R=-17.0  Steps=147320  ε=0.0500
[Ep 152] R=-15.0  Steps=149308  ε=0.0500
[Train 100000] loss=0.0033
[Ep 153] R=-18.0  Steps=151050  ε=0.0500
[Ep 154] R=-16.0  Steps=152957  ε=0.0500
[Ep 155] R=-19.0  Steps=154419  ε=0.0500
[Ep 156] R=-17.0  Steps=156232  ε=0.0500
[Ep 157] R=-15.0  Steps=158318  ε=0.0500
[Ep 158] R=-19.0  Steps=159835  ε=0.0500
[Train 110000] loss=0.0101
[Ep 159] R=-16.0  Steps=161736  ε=0.0500
*** (avg_R=-17.50) ***
*** New best model saved: LAB5_B11017015_task3_pong_161736.pt ***
[Ep 160] R=-16.0  Steps=163795  ε=0.0500
[Ep 161] R=-17.0  Steps=165766  ε=0.0500
[Ep 162] R=-17.0  Steps=167709  ε=0.0500
[Ep 163] R=-18.0  Steps=169489  ε=0.0500
[Train 120000] loss=0.0007
[Ep 164] R=-15.0  Steps=171832  ε=0.0500
[Ep 165] R=-14.0  Steps=173910  ε=0.0500
[Ep 166] R=-17.0  Steps=175903  ε=0.0500
[Ep 167] R=-10.0  Steps=178208  ε=0.0500
[Train 130000] loss=0.0018
[Ep 168] R=-14.0  Steps=180607  ε=0.0500
[Ep 169] R=-13.0  Steps=182765  ε=0.0500
[Ep 170] R=-18.0  Steps=184749  ε=0.0500
[Ep 171] R=-16.0  Steps=186834  ε=0.0500
[Ep 172] R=-13.0  Steps=189089  ε=0.0500
[Train 140000] loss=0.0047
[Ep 173] R=-11.0  Steps=191289  ε=0.0500
[Ep 174] R=-14.0  Steps=193616  ε=0.0500
[Ep 175] R=-13.0  Steps=195999  ε=0.0500
[Ep 176] R=-16.0  Steps=198313  ε=0.0500
[Train 150000] loss=0.0027
[Ep 177] R=-16.0  Steps=200564  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong200000.pt ***
[Ep 178] R=-15.0  Steps=202839  ε=0.0500
[Ep 179] R=-18.0  Steps=204879  ε=0.0500
*** (avg_R=-14.65) ***
*** New best model saved: LAB5_B11017015_task3_pong_204879.pt ***
[Ep 180] R=-12.0  Steps=207514  ε=0.0500
[Ep 181] R=-16.0  Steps=209728  ε=0.0500
[Train 160000] loss=0.0028
[Ep 182] R=-14.0  Steps=212248  ε=0.0500
[Ep 183] R=-15.0  Steps=214550  ε=0.0500
