Using device: cuda
[Ep 0] R=-21.0  Steps=970  ε=0.9619
[Ep 1] R=-20.0  Steps=1919  ε=0.9261
[Ep 2] R=-20.0  Steps=2757  ε=0.8956
[Ep 3] R=-20.0  Steps=3600  ε=0.8659
[Ep 4] R=-21.0  Steps=4424  ε=0.8378
[Ep 5] R=-21.0  Steps=5235  ε=0.8111
[Ep 6] R=-21.0  Steps=6027  ε=0.7858
[Ep 7] R=-21.0  Steps=6898  ε=0.7589
[Ep 8] R=-20.0  Steps=7800  ε=0.7320
[Ep 9] R=-20.0  Steps=8702  ε=0.7060
[Ep 10] R=-20.0  Steps=9540  ε=0.6828
[Ep 11] R=-20.0  Steps=10410  ε=0.6594
[Ep 12] R=-21.0  Steps=11234  ε=0.6380
[Ep 13] R=-21.0  Steps=12018  ε=0.6183
[Ep 14] R=-21.0  Steps=12801  ε=0.5993
[Ep 15] R=-21.0  Steps=13612  ε=0.5801
[Ep 16] R=-21.0  Steps=14395  ε=0.5622
[Ep 17] R=-21.0  Steps=15187  ε=0.5447
[Ep 18] R=-21.0  Steps=16041  ε=0.5264
[Ep 19] R=-21.0  Steps=16893  ε=0.5088
*** (avg_R=-21.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_16893.pt ***
[Ep 20] R=-21.0  Steps=17719  ε=0.4922
[Ep 21] R=-21.0  Steps=18544  ε=0.4763
[Ep 22] R=-21.0  Steps=19368  ε=0.4608
[Ep 23] R=-20.0  Steps=20210  ε=0.4456
[Ep 24] R=-21.0  Steps=21035  ε=0.4311
[Ep 25] R=-21.0  Steps=21846  ε=0.4173
[Ep 26] R=-20.0  Steps=22688  ε=0.4035
[Ep 27] R=-21.0  Steps=23512  ε=0.3904
[Ep 28] R=-21.0  Steps=24306  ε=0.3782
[Ep 29] R=-21.0  Steps=25098  ε=0.3664
[Ep 30] R=-20.0  Steps=25936  ε=0.3544
[Ep 31] R=-20.0  Steps=26778  ε=0.3426
[Ep 32] R=-21.0  Steps=27561  ε=0.3321
[Ep 33] R=-21.0  Steps=28413  ε=0.3209
[Ep 34] R=-21.0  Steps=29327  ε=0.3094
[Ep 35] R=-20.0  Steps=30165  ε=0.2992
[Ep 36] R=-21.0  Steps=30929  ε=0.2902
[Ep 37] R=-21.0  Steps=31753  ε=0.2808
[Ep 38] R=-20.0  Steps=32591  ε=0.2715
[Ep 39] R=-20.0  Steps=33433  ε=0.2625
*** (avg_R=-21.00) ***
[Ep 40] R=-20.0  Steps=34271  ε=0.2539
[Ep 41] R=-20.0  Steps=35113  ε=0.2455
[Ep 42] R=-20.0  Steps=36012  ε=0.2368
[Ep 43] R=-21.0  Steps=36896  ε=0.2286
[Ep 44] R=-20.0  Steps=37740  ε=0.2210
[Ep 45] R=-20.0  Steps=38578  ε=0.2137
[Ep 46] R=-20.0  Steps=39444  ε=0.2064
[Ep 47] R=-20.0  Steps=40286  ε=0.1996
[Ep 48] R=-20.0  Steps=41124  ε=0.1930
[Ep 49] R=-20.0  Steps=41990  ε=0.1864
[Ep 50] R=-21.0  Steps=42773  ε=0.1807
[Ep 51] R=-21.0  Steps=43537  ε=0.1753
[Ep 52] R=-21.0  Steps=44301  ε=0.1700
[Ep 53] R=-20.0  Steps=45139  ε=0.1644
[Ep 54] R=-21.0  Steps=45950  ε=0.1591
[Ep 55] R=-21.0  Steps=46714  ε=0.1543
[Ep 56] R=-20.0  Steps=47552  ε=0.1493
[Ep 57] R=-21.0  Steps=48316  ε=0.1448
[Ep 58] R=-21.0  Steps=49140  ε=0.1401
[Ep 59] R=-20.0  Steps=49978  ε=0.1354
*** (avg_R=-21.00) ***
[Ep 60] R=-19.0  Steps=51054  ε=0.1297
[Ep 61] R=-21.0  Steps=51899  ε=0.1254
[Ep 62] R=-21.0  Steps=52751  ε=0.1212
[Ep 63] R=-19.0  Steps=53735  ε=0.1165
[Ep 64] R=-21.0  Steps=54527  ε=0.1129
[Ep 65] R=-21.0  Steps=55379  ε=0.1091
[Ep 66] R=-21.0  Steps=56171  ε=0.1057
[Ep 67] R=-21.0  Steps=56995  ε=0.1023
[Ep 68] R=-21.0  Steps=57847  ε=0.0989
[Ep 69] R=-21.0  Steps=58611  ε=0.0959
[Ep 70] R=-21.0  Steps=59437  ε=0.0928
[Train 10000] loss=0.0778
[Ep 71] R=-21.0  Steps=60201  ε=0.0900
[Ep 72] R=-21.0  Steps=60965  ε=0.0873
[Ep 73] R=-21.0  Steps=61789  ε=0.0844
[Ep 74] R=-20.0  Steps=62676  ε=0.0815
[Ep 75] R=-21.0  Steps=63620  ε=0.0785
