Using device: cuda
[Ep 0] R=-19.0  Steps=1115  ε=0.9564
[Ep 1] R=-21.0  Steps=2063  ε=0.9208
[Ep 2] R=-21.0  Steps=2857  ε=0.8920
[Ep 3] R=-21.0  Steps=3727  ε=0.8615
[Ep 4] R=-20.0  Steps=4704  ε=0.8285
[Ep 5] R=-20.0  Steps=5546  ε=0.8010
[Ep 6] R=-21.0  Steps=6371  ε=0.7750
[Ep 7] R=-20.0  Steps=7215  ε=0.7493
[Ep 8] R=-21.0  Steps=8037  ε=0.7251
[Ep 9] R=-21.0  Steps=8889  ε=0.7008
[Ep 10] R=-20.0  Steps=9731  ε=0.6776
[Ep 11] R=-21.0  Steps=10612  ε=0.6541
[Ep 12] R=-21.0  Steps=11404  ε=0.6337
[Ep 13] R=-20.0  Steps=12246  ε=0.6127
[Ep 14] R=-21.0  Steps=13072  ε=0.5928
[Ep 15] R=-21.0  Steps=13866  ε=0.5743
[Ep 16] R=-20.0  Steps=14704  ε=0.5553
[Ep 17] R=-21.0  Steps=15487  ε=0.5382
[Ep 18] R=-21.0  Steps=16313  ε=0.5207
[Ep 19] R=-21.0  Steps=17105  ε=0.5045
*** (avg_R=-21.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_17105.pt ***
[Ep 20] R=-21.0  Steps=17917  ε=0.4884
[Ep 21] R=-20.0  Steps=18759  ε=0.4722
[Ep 22] R=-20.0  Steps=19597  ε=0.4566
[Ep 23] R=-21.0  Steps=20408  ε=0.4420
[Ep 24] R=-21.0  Steps=21200  ε=0.4283
[Ep 25] R=-21.0  Steps=21992  ε=0.4149
[Ep 26] R=-21.0  Steps=22784  ε=0.4020
[Ep 27] R=-21.0  Steps=23608  ε=0.3889
[Ep 28] R=-20.0  Steps=24446  ε=0.3761
[Ep 29] R=-21.0  Steps=25229  ε=0.3645
[Ep 30] R=-20.0  Steps=26067  ε=0.3525
[Ep 31] R=-20.0  Steps=26905  ε=0.3409
[Ep 32] R=-20.0  Steps=27747  ε=0.3296
[Ep 33] R=-20.0  Steps=28618  ε=0.3183
[Ep 34] R=-20.0  Steps=29456  ε=0.3078
[Ep 35] R=-21.0  Steps=30220  ε=0.2985
[Ep 36] R=-21.0  Steps=31031  ε=0.2890
[Ep 37] R=-20.0  Steps=31898  ε=0.2792
[Ep 38] R=-20.0  Steps=32768  ε=0.2696
[Ep 39] R=-21.0  Steps=33579  ε=0.2610
*** (avg_R=-21.00) ***
[Ep 40] R=-21.0  Steps=34403  ε=0.2525
[Ep 41] R=-21.0  Steps=35186  ε=0.2448
[Ep 42] R=-20.0  Steps=36028  ε=0.2367
[Ep 43] R=-20.0  Steps=36894  ε=0.2286
[Ep 44] R=-21.0  Steps=37677  ε=0.2215
[Ep 45] R=-20.0  Steps=38515  ε=0.2142
[Ep 46] R=-21.0  Steps=39340  ε=0.2073
[Ep 47] R=-20.0  Steps=40182  ε=0.2004
[Ep 48] R=-21.0  Steps=41006  ε=0.1939
[Ep 49] R=-20.0  Steps=41844  ε=0.1875
[Ep 50] R=-20.0  Steps=42682  ε=0.1814
[Ep 51] R=-21.0  Steps=43494  ε=0.1756
[Ep 52] R=-21.0  Steps=44277  ε=0.1701
[Ep 53] R=-21.0  Steps=45101  ε=0.1646
[Ep 54] R=-20.0  Steps=45943  ε=0.1592
[Ep 55] R=-21.0  Steps=46735  ε=0.1542
[Ep 56] R=-20.0  Steps=47601  ε=0.1490
[Ep 57] R=-20.0  Steps=48439  ε=0.1440
[Ep 58] R=-21.0  Steps=49231  ε=0.1396
[Ep 59] R=-21.0  Steps=49995  ε=0.1354
*** (avg_R=-21.00) ***
[Ep 60] R=-21.0  Steps=50821  ε=0.1310
[Ep 61] R=-20.0  Steps=51728  ε=0.1263
[Ep 62] R=-21.0  Steps=52492  ε=0.1225
[Ep 63] R=-21.0  Steps=53256  ε=0.1188
[Ep 64] R=-21.0  Steps=54138  ε=0.1147
[Ep 65] R=-20.0  Steps=54980  ε=0.1109
[Ep 66] R=-21.0  Steps=55744  ε=0.1075
[Ep 67] R=-21.0  Steps=56658  ε=0.1037
[Ep 68] R=-20.0  Steps=57558  ε=0.1000
[Ep 69] R=-21.0  Steps=58382  ε=0.0968
[Ep 70] R=-21.0  Steps=59146  ε=0.0939
[Ep 71] R=-21.0  Steps=59972  ε=0.0908
[Train 10000] loss=0.3247
[Ep 72] R=-21.0  Steps=60736  ε=0.0881
[Ep 73] R=-21.0  Steps=61649  ε=0.0849
[Ep 74] R=-20.0  Steps=62647  ε=0.0816
[Ep 75] R=-20.0  Steps=63594  ε=0.0786
[Ep 76] R=-21.0  Steps=64377  ε=0.0761
[Ep 77] R=-21.0  Steps=65201  ε=0.0737
[Ep 78] R=-21.0  Steps=66025  ε=0.0713
[Ep 79] R=-21.0  Steps=66940  ε=0.0687
*** (avg_R=-20.80) ***
*** New best model saved: LAB5_B11017015_task3_pong_66940.pt ***
[Ep 80] R=-21.0  Steps=68007  ε=0.0659
[Ep 81] R=-21.0  Steps=68831  ε=0.0637
[Ep 82] R=-21.0  Steps=69717  ε=0.0615
[Train 20000] loss=0.0104
[Ep 83] R=-21.0  Steps=70541  ε=0.0595
[Ep 84] R=-21.0  Steps=71425  ε=0.0574
[Ep 85] R=-20.0  Steps=72355  ε=0.0553
[Ep 86] R=-21.0  Steps=73179  ε=0.0535
[Ep 87] R=-21.0  Steps=74003  ε=0.0518
[Ep 88] R=-21.0  Steps=74827  ε=0.0501
[Ep 89] R=-19.0  Steps=75824  ε=0.0500
[Ep 90] R=-21.0  Steps=77159  ε=0.0500
