Using device: cuda
[Ep 0] R=-21.0  Steps=854  ε=0.9664
[Ep 1] R=-21.0  Steps=1843  ε=0.9289
[Ep 2] R=-20.0  Steps=2752  ε=0.8958
[Ep 3] R=-20.0  Steps=3596  ε=0.8660
[Ep 4] R=-21.0  Steps=4400  ε=0.8386
[Ep 5] R=-20.0  Steps=5326  ε=0.8081
[Ep 6] R=-20.0  Steps=6252  ε=0.7787
[Ep 7] R=-21.0  Steps=7136  ε=0.7517
[Ep 8] R=-21.0  Steps=7960  ε=0.7273
[Ep 9] R=-20.0  Steps=8803  ε=0.7032
[Ep 10] R=-21.0  Steps=9586  ε=0.6815
[Ep 11] R=-21.0  Steps=10499  ε=0.6571
[Ep 12] R=-20.0  Steps=11365  ε=0.6347
[Ep 13] R=-20.0  Steps=12203  ε=0.6138
[Ep 14] R=-21.0  Steps=13014  ε=0.5942
[Ep 15] R=-20.0  Steps=13857  ε=0.5745
[Ep 16] R=-21.0  Steps=14700  ε=0.5554
[Ep 17] R=-21.0  Steps=15543  ε=0.5370
[Ep 18] R=-21.0  Steps=16337  ε=0.5202
[Ep 19] R=-20.0  Steps=17203  ε=0.5025
*** (avg_R=-21.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_17203.pt ***
[Ep 20] R=-21.0  Steps=18055  ε=0.4857
[Ep 21] R=-21.0  Steps=18847  ε=0.4705
[Ep 22] R=-20.0  Steps=19689  ε=0.4549
[Ep 23] R=-21.0  Steps=20481  ε=0.4408
[Ep 24] R=-20.0  Steps=21323  ε=0.4262
[Ep 25] R=-20.0  Steps=22165  ε=0.4120
[Ep 26] R=-20.0  Steps=23035  ε=0.3980
[Ep 27] R=-21.0  Steps=23921  ε=0.3841
[Ep 28] R=-21.0  Steps=24765  ε=0.3713
[Ep 29] R=-21.0  Steps=25529  ε=0.3602
[Ep 30] R=-21.0  Steps=26312  ε=0.3491
[Ep 31] R=-21.0  Steps=27104  ε=0.3382
[Ep 32] R=-21.0  Steps=27896  ε=0.3276
[Ep 33] R=-20.0  Steps=28734  ε=0.3168
[Ep 34] R=-20.0  Steps=29604  ε=0.3060
[Ep 35] R=-20.0  Steps=30442  ε=0.2959
[Ep 36] R=-20.0  Steps=31284  ε=0.2861
[Ep 37] R=-20.0  Steps=32122  ε=0.2767
[Ep 38] R=-21.0  Steps=32914  ε=0.2680
[Ep 39] R=-20.0  Steps=33752  ε=0.2592
*** (avg_R=-21.00) ***
[Ep 40] R=-21.0  Steps=34516  ε=0.2514
[Ep 41] R=-20.0  Steps=35449  ε=0.2422
[Ep 42] R=-20.0  Steps=36287  ε=0.2342
[Ep 43] R=-21.0  Steps=37112  ε=0.2266
[Ep 44] R=-20.0  Steps=37954  ε=0.2191
[Ep 45] R=-21.0  Steps=38778  ε=0.2120
[Ep 46] R=-20.0  Steps=39616  ε=0.2050
[Ep 47] R=-21.0  Steps=40399  ε=0.1987
[Ep 48] R=-20.0  Steps=41241  ε=0.1921
[Ep 49] R=-20.0  Steps=42079  ε=0.1858
[Ep 50] R=-20.0  Steps=42917  ε=0.1797
[Ep 51] R=-21.0  Steps=43711  ε=0.1740
[Ep 52] R=-21.0  Steps=44475  ε=0.1688
