Using device: cuda
[Ep 0] R=-21.0  Steps=824  ε=0.9959
[Ep 1] R=-21.0  Steps=1617  ε=0.9919
[Ep 2] R=-20.0  Steps=2549  ε=0.9873
[Ep 3] R=-20.0  Steps=3656  ε=0.9819
[Ep 4] R=-21.0  Steps=4590  ε=0.9773
[Ep 5] R=-20.0  Steps=5492  ε=0.9729
[Ep 6] R=-20.0  Steps=6714  ε=0.9670
[Ep 7] R=-21.0  Steps=7673  ε=0.9624
[Ep 8] R=-21.0  Steps=8620  ε=0.9578
[Ep 9] R=-19.0  Steps=9553  ε=0.9534
[Ep 10] R=-21.0  Steps=10364  ε=0.9495
[Ep 11] R=-20.0  Steps=11374  ε=0.9447
[Ep 12] R=-20.0  Steps=12364  ε=0.9401
[Ep 13] R=-21.0  Steps=13216  ε=0.9361
[Ep 14] R=-20.0  Steps=14117  ε=0.9318
[Ep 15] R=-21.0  Steps=15058  ε=0.9275
[Ep 16] R=-21.0  Steps=15852  ε=0.9238
[Ep 17] R=-21.0  Steps=16703  ε=0.9199
[Ep 18] R=-20.0  Steps=17721  ε=0.9152
[Ep 19] R=-19.0  Steps=18718  ε=0.9107
*** (avg_R=-21.00) ***
*** New best model saved: LAB5_B11017015_task3_pong_18718.pt ***
[Ep 20] R=-20.0  Steps=19665  ε=0.9064
[Ep 21] R=-20.0  Steps=20755  ε=0.9014
[Ep 22] R=-20.0  Steps=21626  ε=0.8975
[Ep 23] R=-21.0  Steps=22571  ε=0.8933
[Ep 24] R=-19.0  Steps=23664  ε=0.8884
[Ep 25] R=-21.0  Steps=24457  ε=0.8849
[Ep 26] R=-21.0  Steps=25400  ε=0.8807
[Ep 27] R=-21.0  Steps=26192  ε=0.8773
[Ep 28] R=-20.0  Steps=27093  ε=0.8733
[Ep 29] R=-21.0  Steps=27917  ε=0.8697
[Ep 30] R=-20.0  Steps=28790  ε=0.8659
[Ep 31] R=-20.0  Steps=29634  ε=0.8623
[Ep 32] R=-20.0  Steps=30477  ε=0.8587
[Ep 33] R=-21.0  Steps=31289  ε=0.8552
[Ep 34] R=-20.0  Steps=32133  ε=0.8516
[Ep 35] R=-21.0  Steps=32957  ε=0.8481
[Ep 36] R=-19.0  Steps=33895  ε=0.8441
[Ep 37] R=-21.0  Steps=34745  ε=0.8405
[Ep 38] R=-21.0  Steps=35691  ε=0.8366
[Ep 39] R=-21.0  Steps=36577  ε=0.8329
*** (avg_R=-21.00) ***
[Ep 40] R=-21.0  Steps=37429  ε=0.8293
[Ep 41] R=-21.0  Steps=38254  ε=0.8259
[Ep 42] R=-21.0  Steps=39065  ε=0.8226
[Ep 43] R=-21.0  Steps=39875  ε=0.8192
[Ep 44] R=-20.0  Steps=40806  ε=0.8154
[Ep 45] R=-21.0  Steps=41713  ε=0.8117
[Ep 46] R=-20.0  Steps=42602  ε=0.8081
[Ep 47] R=-20.0  Steps=43566  ε=0.8043
[Ep 48] R=-21.0  Steps=44390  ε=0.8010
[Ep 49] R=-20.0  Steps=45232  ε=0.7976
[Ep 50] R=-21.0  Steps=46052  ε=0.7943
[Ep 51] R=-20.0  Steps=46894  ε=0.7910
[Ep 52] R=-21.0  Steps=47677  ε=0.7879
[Ep 53] R=-21.0  Steps=48521  ε=0.7846
[Ep 54] R=-20.0  Steps=49435  ε=0.7810
[Ep 55] R=-20.0  Steps=50418  ε=0.7772
[Ep 56] R=-20.0  Steps=51427  ε=0.7733
[Ep 57] R=-21.0  Steps=52387  ε=0.7696
[Ep 58] R=-21.0  Steps=53211  ε=0.7664
[Ep 59] R=-21.0  Steps=53975  ε=0.7635
*** (avg_R=-21.00) ***
[Ep 60] R=-20.0  Steps=54813  ε=0.7603
[Ep 61] R=-19.0  Steps=55827  ε=0.7564
[Ep 62] R=-20.0  Steps=56665  ε=0.7533
[Ep 63] R=-21.0  Steps=57549  ε=0.7500
[Ep 64] R=-20.0  Steps=58719  ε=0.7456
[Ep 65] R=-21.0  Steps=59629  ε=0.7422
[Train 10000] loss=0.2065
[Ep 66] R=-19.0  Steps=60604  ε=0.7386
[Ep 67] R=-21.0  Steps=61368  ε=0.7358
[Ep 68] R=-20.0  Steps=62290  ε=0.7324
[Ep 69] R=-21.0  Steps=63114  ε=0.7294
[Ep 70] R=-21.0  Steps=64060  ε=0.7259
[Ep 71] R=-20.0  Steps=64921  ε=0.7228
[Ep 72] R=-21.0  Steps=65794  ε=0.7197
